DISCOUNT_ITEM_ID|DISCOUNT_ITEM_TYPE|DISCOUNT_ITEM_VALUE|CONDITION_ID
1615611|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134981
1615612|1|HPN;R  ;1K113O   ;*;*;*;*;R;*;*;|134981
1615613|1|HPN;R  ;1K114O   ;*;*;*;*;R;*;*;|134982
1615614|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134983
1615615|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1615616|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1615617|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1615618|1|HPN;R  ;1K114Q   ;*;*;*;*;R;*;*;|134984
1615619|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1615620|1|HPN;R  ;1K113Q   ;*;*;*;*;R;*;*;|134984
1615621|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1615622|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1615623|1|HPN;R  ;1K113Q   ;*;*;*;*;R;*;*;|134984
1615624|1|HPN;R  ;1K114Q   ;*;*;*;*;R;*;*;|134984
1615625|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1615626|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1615643|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615644|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1615639|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615640|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1615647|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1615648|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1615669|1|HPN;R  ;1K114Q   ;*;*;*;*;R;*;*;|134984
1615670|1|HPN;R  ;1K114O   ;*;*;*;*;R;*;*;|134984
1615671|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615672|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1615673|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1615674|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1615675|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1615676|1|HPN;R  ;1K113Q   ;*;*;*;*;R;*;*;|134984
1615677|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1615678|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1615679|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1615680|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
