DISCOUNT_ITEM_ID|CONDITION_ID|DISCOUNT_ITEM_INDEX|CALC_FUNC
1610483|134981|0|1
1610484|134981|0|1
1610491|134985|0|1
1610492|134985|0|1
1610493|134985|0|1
1610494|134985|0|1
1610495|134985|0|1
1610496|134985|0|1
1610497|134985|0|1
1610498|134985|0|1
1610499|134985|0|1
1610500|134985|0|1
1610501|134985|0|1
1610502|134985|0|1
1610503|134986|0|1
1610504|134986|0|1
1610505|134987|0|1
1610506|134987|0|1
1610529|134997|0|1
1610530|134998|0|1
1610531|134999|0|1
1610532|134999|0|1
1610533|135000|0|1
1610565|135021|0|1
1610566|135021|0|1
1610567|135021|0|1
1610568|135021|0|1
1610573|135023|0|1
1610574|135023|0|1
1610575|135023|0|1
1610576|135023|0|1
1610577|135024|0|1
1610578|135024|0|1
1610579|135024|0|1
1610580|135024|0|1
1610581|135025|0|1
1610582|135025|0|1
1610583|135025|0|1
1610584|135025|0|1
1610585|135026|0|1
1610586|135026|0|1
1610587|135026|0|1
1610588|135026|0|1
1610593|135028|0|1
1610594|135028|0|1
1610595|135028|0|1
1610596|135028|0|1
1610597|135029|0|1
1610598|135029|0|1
1610599|135029|0|1
1610600|135029|0|1
1610609|135032|0|1
1610610|135032|0|1
1610611|135032|0|1
1610612|135032|0|1
1610617|135034|0|1
1610618|135034|0|1
1610619|135034|0|1
1610620|135034|0|1
1610625|135036|0|1
1610626|135036|0|1
1610627|135036|0|1
1610628|135036|0|1
1610629|135036|0|1
1610630|135036|0|1
1610631|135036|0|1
1610632|135036|0|1
1610633|135036|0|1
1610634|135036|0|1
1610635|135036|0|1
1610636|135036|0|1
1610637|135037|0|1
1610638|135037|0|1
1610639|135037|0|1
1610640|135037|0|1
1610641|135037|0|1
1610642|135037|0|1
1610643|135037|0|1
1610644|135037|0|1
1610645|135037|0|1
1610646|135037|0|1
1610647|135037|0|1
1610648|135037|0|1
1610649|135038|0|1
1610650|135038|0|1
1610651|135038|0|1
1610652|135038|0|1
1610653|135038|0|1
1610654|135038|0|1
1610655|135038|0|1
1610656|135038|0|1
1610657|135038|0|1
1610658|135038|0|1
1610659|135038|0|1
1610660|135038|0|1
1610673|135040|0|1
1610674|135040|0|1
1610675|135040|0|1
1610676|135040|0|1
1610677|135040|0|1
1610678|135040|0|1
1610679|135040|0|1
1610680|135040|0|1
1610681|135040|0|1
1610682|135040|0|1
1610683|135040|0|1
1610684|135040|0|1
1610685|135041|0|1
1610686|135041|0|1
1610687|135041|0|1
1610688|135041|0|1
1610689|135041|0|1
1610690|135041|0|1
1610691|135041|0|1
1610692|135041|0|1
1610693|135041|0|1
1610694|135041|0|1
1610695|135041|0|1
1610696|135041|0|1
1610697|135042|0|1
1610698|135042|0|1
1610699|135042|0|1
1610700|135042|0|1
1610701|135042|0|1
1610702|135042|0|1
1610703|135042|0|1
1610704|135042|0|1
1610705|135042|0|1
1610706|135042|0|1
1610707|135042|0|1
1610708|135042|0|1
1610709|135043|0|1
1610710|135043|0|1
1610711|135043|0|1
1610712|135043|0|1
1610713|135043|0|1
1610714|135043|0|1
1610715|135043|0|1
1610716|135043|0|1
1610717|135043|0|1
1610718|135043|0|1
1610719|135043|0|1
1610720|135043|0|1
1610721|135044|0|1
1610722|135044|0|1
1610723|135044|0|1
1610724|135044|0|1
1610725|135044|0|1
1610726|135044|0|1
1610727|135044|0|1
1610728|135044|0|1
1610729|135044|0|1
1610730|135044|0|1
1610731|135044|0|1
1610732|135044|0|1
1610758|135047|0|1
1610759|135047|0|1
1610760|135047|0|1
1610761|135047|0|1
1610762|135047|0|1
1610763|135047|0|1
1610764|135047|0|1
1610765|135047|0|1
1610766|135047|0|1
1610767|135047|0|1
1610768|135047|0|1
1610769|135048|0|1
1610757|135047|0|1
1610770|135048|0|1
1610771|135048|0|1
1610772|135048|0|1
1610773|135048|0|1
1610774|135048|0|1
1610775|135048|0|1
1610776|135048|0|1
1610777|135048|0|1
1610778|135048|0|1
1610779|135048|0|1
1610780|135048|0|1
1610781|135049|0|1
1610782|135049|0|1
1610783|135049|0|1
1610784|135049|0|1
1610785|135049|0|1
1610786|135049|0|1
1610787|135049|0|1
1610788|135049|0|1
1610789|135049|0|1
1610790|135049|0|1
1610791|135049|0|1
1610792|135049|0|1
1610793|135050|0|1
1610794|135050|0|1
1610795|135050|0|1
1610796|135050|0|1
1610797|135050|0|1
1610798|135050|0|1
1610799|135050|0|1
1610800|135050|0|1
1610801|135050|0|1
1610802|135050|0|1
1610803|135050|0|1
1610804|135050|0|1
1610805|135051|0|1
1610806|135051|0|1
1610807|135051|0|1
1610808|135051|0|1
1610809|135051|0|1
1610810|135051|0|1
1610811|135051|0|1
1610812|135051|0|1
1610813|135051|0|1
1610814|135051|0|1
1610815|135051|0|1
1610816|135051|0|1
1610817|135052|0|1
1610818|135052|0|1
1610819|135052|0|1
1610820|135052|0|1
1610821|135052|0|1
1610822|135052|0|1
1610823|135052|0|1
1610824|135052|0|1
1610825|135052|0|1
1610826|135052|0|1
1610827|135052|0|1
1610828|135052|0|1
1610841|135054|0|1
1610842|135054|0|1
1610843|135054|0|1
1610844|135054|0|1
1610845|135054|0|1
1610846|135054|0|1
1610847|135054|0|1
1610848|135054|0|1
1610849|135054|0|1
1610850|135054|0|1
1610851|135054|0|1
1610852|135054|0|1
1610853|135055|0|1
1610854|135055|0|1
1610855|135055|0|1
1610856|135055|0|1
1610857|135055|0|1
1610858|135055|0|1
